Customer Number,Offer Accepted,Reward,Mailer Type,Income Level,Bank Accounts Open,Overdraft Protection,Credit Rating,Credit Cards Held,Homes Owned,Household Size,Own Your Home,Average Balance
1,No,Air Miles,Letter,High,1,No,High,2,1,4,No,1160.75
2,No,Air Miles,Letter,Medium,1,No,Medium,2,2,5,Yes,147.25
3,No,Air Miles,Postcard,High,2,No,Medium,2,1,2,Yes,276.5
4,No,Air Miles,Letter,Medium,2,No,High,1,1,4,No,1219
5,No,Air Miles,Letter,Medium,1,No,Medium,2,1,6,Yes,1211
6,No,Air Miles,Letter,Medium,1,No,High,3,1,4,No,1114.75
7,No,Air Miles,Letter,Medium,1,No,Medium,2,1,3,No,283.75
8,No,Cash Back,Postcard,Low,1,No,Medium,4,1,4,Yes,278.5
9,No,Air Miles,Postcard,Medium,1,No,Low,2,1,4,Yes,1005
10,No,Air Miles,Letter,High,2,No,Low,3,2,4,Yes,974.25
11,No,Air Miles,Postcard,Medium,1,No,Medium,3,1,2,Yes,1135.25
12,No,Cash Back,Postcard,High,1,No,Medium,3,2,5,Yes,1221
13,No,Points,Letter,Medium,1,No,Low,1,1,2,Yes,1150.5
14,No,Points,Letter,Low,1,No,High,1,1,3,No,1052.25
15,No,Air Miles,Letter,Low,2,No,High,3,1,3,Yes,1013.25
16,No,Cash Back,Letter,High,1,No,Low,2,1,2,No,1012.25
17,No,Points,Postcard,Low,2,No,Medium,1,1,4,Yes,1217
18,No,Air Miles,Postcard,Low,2,No,High,2,1,4,Yes,1185.25
19,No,Points,Postcard,Medium,1,No,Low,1,1,4,No,1059.75
20,No,Cash Back,Letter,Medium,1,No,High,2,1,5,Yes,1086.75
21,No,Points,Postcard,Low,1,No,High,2,1,4,Yes,1175.25
22,No,Points,Letter,Medium,1,No,Low,2,2,3,Yes,811.75
23,No,Cash Back,Letter,High,1,No,High,1,1,3,Yes,1754
24,No,Air Miles,Postcard,High,1,No,High,3,1,5,No,689.5
25,No,Cash Back,Letter,Low,1,No,Low,2,1,4,Yes,1018.25
26,No,Cash Back,Postcard,Medium,1,Yes,High,3,2,5,Yes,1130.25
27,No,Air Miles,Postcard,Low,2,No,Low,3,2,1,Yes,877
28,Yes,Air Miles,Letter,Medium,1,No,Low,1,1,2,No,769.5
29,No,Cash Back,Postcard,Medium,1,Yes,Low,1,1,3,Yes,709
30,No,Points,Postcard,High,1,No,Medium,1,1,1,Yes,690
31,No,Points,Letter,Medium,1,No,High,2,1,3,No,863.25
32,No,Cash Back,Postcard,Low,2,No,Low,1,1,5,Yes,733
33,No,Points,Postcard,Low,1,No,High,2,2,4,No,771
34,No,Air Miles,Postcard,Low,3,No,Medium,1,1,4,Yes,659.5
35,No,Air Miles,Letter,Medium,1,No,Low,2,1,2,No,1258
36,No,Points,Letter,High,1,No,High,2,1,4,Yes,875.25
37,No,Air Miles,Postcard,Medium,2,No,Medium,2,2,2,Yes,675.75
38,No,Air Miles,Postcard,Medium,1,No,Medium,2,1,4,No,1095.75
39,No,Air Miles,Postcard,High,1,No,Low,1,2,8,No,1285
40,No,Air Miles,Postcard,Low,1,Yes,Medium,2,1,3,Yes,1079.25
41,No,Air Miles,Letter,Low,1,Yes,High,1,1,3,Yes,1119.75
42,No,Air Miles,Letter,High,1,No,Medium,3,1,3,Yes,172
43,No,Cash Back,Postcard,Medium,1,No,Medium,1,1,4,No,834.75
44,No,Air Miles,Letter,High,2,No,Medium,3,1,3,Yes,1044.75
45,No,Points,Postcard,Medium,1,No,Low,2,1,2,No,838.75
46,Yes,Air Miles,Postcard,High,1,Yes,Low,2,1,5,Yes,851.25
