Offer Accepted,Reward,rewardvalue,Mailer Type,mailertype,Income Level,incomelevel,Credit Rating,creditratingvalue,Credit Cards Held,Household Size,Average Balance
No,Air Miles,0,Letter,0,High,3,High,2,2,4,1160.75
No,Air Miles,0,Letter,0,Medium,1,Medium,1,2,5,147.25
No,Air Miles,0,Postcard,1,High,3,Medium,1,2,2,276.5
No,Air Miles,0,Letter,0,Medium,1,High,2,1,4,1219
No,Air Miles,0,Letter,0,Medium,1,Medium,1,2,6,1211
No,Air Miles,0,Letter,0,Medium,1,High,2,3,4,1114.75
No,Air Miles,0,Letter,0,Medium,1,Medium,1,2,3,283.75
No,Cash Back,1,Postcard,1,Low,0,Medium,1,4,4,278.5
No,Air Miles,0,Postcard,1,Medium,1,Low,0,2,4,1005
No,Air Miles,0,Letter,0,High,3,Low,0,3,4,974.25
No,Air Miles,0,Postcard,1,Medium,1,Medium,1,3,2,1135.25
No,Cash Back,1,Postcard,1,High,3,Medium,1,3,5,1221
No,Points,3,Letter,0,Medium,1,Low,0,1,2,1150.5
No,Points,3,Letter,0,Low,0,High,2,1,3,1052.25
No,Air Miles,0,Letter,0,Low,0,High,2,3,3,1013.25
No,Cash Back,1,Letter,0,High,3,Low,0,2,2,1012.25
No,Points,3,Postcard,1,Low,0,Medium,1,1,4,1217
No,Air Miles,0,Postcard,1,Low,0,High,2,2,4,1185.25
No,Points,3,Postcard,1,Medium,1,Low,0,1,4,1059.75
No,Cash Back,1,Letter,0,Medium,1,High,2,2,5,1086.75
No,Points,3,Postcard,1,Low,0,High,2,2,4,1175.25
No,Points,3,Letter,0,Medium,1,Low,0,2,3,811.75
No,Cash Back,1,Letter,0,High,3,High,2,1,3,1754
No,Air Miles,0,Postcard,1,High,3,High,2,3,5,689.5
No,Cash Back,1,Letter,0,Low,0,Low,0,2,4,1018.25
No,Cash Back,1,Postcard,1,Medium,1,High,2,3,5,1130.25
No,Air Miles,0,Postcard,1,Low,0,Low,0,3,1,877
Yes,Air Miles,0,Letter,0,Medium,1,Low,0,1,2,769.5
No,Cash Back,1,Postcard,1,Medium,1,Low,0,1,3,709
No,Points,3,Postcard,1,High,3,Medium,1,1,1,690
No,Points,3,Letter,0,Medium,1,High,2,2,3,863.25
No,Cash Back,1,Postcard,1,Low,0,Low,0,1,5,733
No,Points,3,Postcard,1,Low,0,High,2,2,4,771
No,Air Miles,0,Postcard,1,Low,0,Medium,1,1,4,659.5
No,Air Miles,0,Letter,0,Medium,1,Low,0,2,2,1258
No,Points,3,Letter,0,High,3,High,2,2,4,875.25
No,Air Miles,0,Postcard,1,Medium,1,Medium,1,2,2,675.75
No,Air Miles,0,Postcard,1,Medium,1,Medium,1,2,4,1095.75
No,Air Miles,0,Postcard,1,High,3,Low,0,1,8,1285
No,Air Miles,0,Postcard,1,Low,0,Medium,1,2,3,1079.25
No,Air Miles,0,Letter,0,Low,0,High,2,1,3,1119.75
No,Air Miles,0,Letter,0,High,3,Medium,1,3,3,172
No,Cash Back,1,Postcard,1,Medium,1,Medium,1,1,4,834.75
No,Air Miles,0,Letter,0,High,3,Medium,1,3,3,1044.75
No,Points,3,Postcard,1,Medium,1,Low,0,2,2,838.75
Yes,Air Miles,0,Postcard,1,High,3,Low,0,2,5,851.25
