offer accepted,reward,mailertype,incomelevel,creditratingvalue,Credit Cards Held,Household Size,Average Balance
0,0,0,3,2,2,4,1160.75
0,0,0,1,1,2,5,147.25
0,0,1,3,1,2,2,276.5
0,0,0,1,2,1,4,1219
0,0,0,1,1,2,6,1211
0,0,0,1,2,3,4,1114.75
0,0,0,1,1,2,3,283.75
0,1,1,0,1,4,4,278.5
0,0,1,1,0,2,4,1005
0,0,0,3,0,3,4,974.25
0,0,1,1,1,3,2,1135.25
0,1,1,3,1,3,5,1221
0,3,0,1,0,1,2,1150.5
0,3,0,0,2,1,3,1052.25
0,0,0,0,2,3,3,1013.25
0,1,0,3,0,2,2,1012.25
0,3,1,0,1,1,4,1217
0,0,1,0,2,2,4,1185.25
0,3,1,1,0,1,4,1059.75
0,1,0,1,2,2,5,1086.75
0,3,1,0,2,2,4,1175.25
0,3,0,1,0,2,3,811.75
0,1,0,3,2,1,3,1754
0,0,1,3,2,3,5,689.5
0,1,0,0,0,2,4,1018.25
0,1,1,1,2,3,5,1130.25
0,0,1,0,0,3,1,877
1,0,0,1,0,1,2,769.5
0,1,1,1,0,1,3,709
0,3,1,3,1,1,1,690
0,3,0,1,2,2,3,863.25
0,1,1,0,0,1,5,733
0,3,1,0,2,2,4,771
0,0,1,0,1,1,4,659.5
0,0,0,1,0,2,2,1258
0,3,0,3,2,2,4,875.25
0,0,1,1,1,2,2,675.75
0,0,1,1,1,2,4,1095.75
0,0,1,3,0,1,8,1285
0,0,1,0,1,2,3,1079.25
0,0,0,0,2,1,3,1119.75
0,0,0,3,1,3,3,172
0,1,1,1,1,1,4,834.75
0,0,0,3,1,3,3,1044.75
0,3,1,1,0,2,2,838.75
1,0,1,3,0,2,5,851.25
0,0,0,1,1,2,6,1040.25
0,0,0,0,2,2,3,987
0,0,1,1,0,1,3,822
0,3,0,1,2,1,5,650.5
1,0,1,0,2,2,2,931.75
0,1,0,1,1,1,3,988
0,3,0,1,1,1,4,1145.5
0,3,1,1,0,1,4,1162.5
0,0,1,1,2,2,3,954.25
0,3,1,3,1,4,5,1301.25
0,1,0,1,1,2,4,1148.75
1,0,1,0,1,1,2,1192.75
0,1,1,1,2,2,2,1195.5
0,0,1,1,2,2,3,1351.5
0,1,1,1,2,1,4,1062.25
0,1,0,1,2,2,2,1147.25
0,1,0,1,0,1,3,1308.5
0,1,1,1,2,2,2,363
0,1,0,1,0,1,4,929.5
0,1,1,0,0,2,2,718
0,1,0,3,2,1,3,1193.25
0,0,0,1,1,3,2,957.75
0,3,1,1,0,2,4,1050
0,3,1,1,2,2,5,1266.5
0,0,1,1,2,4,2,1124.75
0,0,0,3,2,2,1,1059.75
0,1,1,1,2,1,1,1014.25
0,0,0,0,2,1,3,891.25
1,1,1,3,0,2,5,1329.5
0,0,0,1,1,3,4,1023.5
1,1,1,1,0,1,5,908.5
0,1,0,3,0,1,3,731.5
0,3,1,0,1,2,2,793.5
0,1,1,1,0,1,3,1735.5
0,1,1,1,1,2,4,970.5
0,1,0,3,0,2,4,995.25
0,3,1,1,1,2,3,904
0,1,1,3,2,1,5,1128.5
0,0,1,1,1,2,3,1102.75
0,1,1,1,2,1,4,976.25
0,0,0,1,2,2,5,839.75
0,3,1,1,1,2,4,1293
0,1,1,1,2,2,5,819.5
0,0,1,1,0,2,3,1094.5
0,3,1,0,0,1,2,1247.25
0,0,0,1,2,3,3,167
0,1,0,1,2,3,2,1144.75
0,0,0,0,1,1,3,909.75
0,1,1,1,0,3,3,976.25
0,3,1,0,1,2,4,741
0,0,1,0,1,1,2,1343.75
1,3,0,0,0,3,3,1454.5
0,0,0,1,1,1,4,1791.25
0,3,0,0,1,1,3,1185.75
0,1,0,0,2,2,3,1210.75
1,3,1,3,0,1,9,161.5
0,1,0,0,2,1,2,1033.75
0,1,0,3,0,2,5,963
0,1,1,1,2,2,5,1025.75
0,3,0,0,2,1,5,1071.75
0,1,0,0,0,2,3,1039.5
0,0,1,1,0,3,3,979.25
0,3,1,3,2,2,1,905.5
0,1,0,3,1,2,5,924
0,1,1,0,0,1,2,1061.75
0,3,1,1,1,3,1,816.5
1,0,0,3,2,2,5,1082.5
0,1,1,1,0,1,4,928.25
0,3,1,3,1,2,3,1397.25
0,3,1,0,0,1,5,1034.5
0,0,1,1,0,2,5,738.5
0,1,1,3,2,2,4,1251.5
0,3,1,0,2,1,5,1153.75
0,1,1,3,1,2,4,864
0,1,0,1,2,3,2,1155.5
0,1,1,3,2,1,5,1090.5
0,1,0,0,1,2,4,1090.5
0,0,0,0,0,2,3,773.75
0,0,1,1,1,2,3,1052
0,0,1,1,1,2,4,944.25
0,3,0,1,2,1,4,1147.25
0,1,0,3,2,2,3,1159.5
0,0,1,3,2,1,3,836.5
0,1,0,1,1,2,3,1057.75
0,1,1,1,1,3,5,714.75
1,0,1,3,1,2,3,811.5
0,1,0,1,2,2,3,865.75
0,1,1,1,0,1,3,887.25
0,1,0,3,1,2,5,1791.75
0,3,1,3,2,2,3,1083
0,3,0,1,0,1,2,212.5
0,1,0,1,0,2,2,877.75
0,0,0,1,2,2,3,691.5
0,0,1,0,1,2,4,814.5
0,3,1,1,1,2,4,955.5
0,1,0,3,2,2,4,1281.5
0,0,0,3,0,2,3,937.5
0,3,0,1,1,2,3,919.75
0,3,1,1,2,1,3,879.75
0,3,0,1,0,4,4,1181
0,0,1,0,1,1,3,1153.5
0,3,1,3,2,2,4,794.25
0,3,1,1,0,3,4,927.25
0,3,0,1,1,3,2,1809
0,1,0,0,1,1,5,1156.25
0,0,1,3,0,2,4,1121.5
0,1,0,3,1,2,4,1203
0,3,0,3,0,1,1,246.25
0,0,0,0,0,1,4,1454.75
0,3,1,3,0,2,2,687
0,3,1,3,0,1,3,928
0,3,1,3,0,2,2,933
1,1,1,1,0,1,5,1133.25
0,1,0,1,0,3,5,1301.5
0,1,0,3,1,1,2,1199
0,3,0,1,0,1,3,1084.25
0,1,1,0,2,2,2,1094.5
0,3,0,3,2,1,3,1104
0,0,0,3,0,1,4,1042.5
0,1,1,1,2,1,5,1089.75
0,3,1,1,1,2,3,974.25
0,0,1,1,2,2,3,991.5
0,3,1,0,1,2,3,1204.25
0,0,1,1,0,2,5,865
0,3,1,1,2,2,2,1144
0,0,0,1,1,3,4,958.5
0,1,0,1,0,2,3,1056.25
0,3,0,1,1,3,3,695
0,1,1,0,2,4,2,1237.5
0,1,0,0,2,2,5,1034
0,1,0,3,2,1,4,1246.5
0,1,0,1,0,2,2,998.75
0,3,1,3,1,2,3,1028
0,3,1,1,2,2,2,320
0,3,0,0,2,1,3,91.25
0,3,0,3,1,1,3,166.25
0,0,0,1,0,3,2,240
0,3,1,1,1,2,5,124.75
0,0,0,3,0,1,3,1145.75
0,3,1,1,0,2,6,1292.5
0,3,0,1,2,2,3,1186
0,0,1,1,2,1,5,1135.25
0,1,0,0,0,3,4,1279.25
0,0,1,3,0,2,3,1162
0,1,1,1,0,2,3,954.5
0,1,1,1,1,2,3,1073.25
0,3,0,1,1,1,4,889
0,3,0,1,0,1,3,294.25
0,0,1,0,0,3,3,1047.5
0,0,0,0,0,1,3,661.25
0,1,0,1,1,3,2,158.75
0,1,1,3,1,2,3,1059
0,0,0,0,1,1,2,1741.75
0,3,1,3,0,1,4,1419.5
0,1,0,1,0,2,3,232.5
0,3,0,1,2,2,3,1122.5
0,1,1,1,0,1,4,1250.75
0,0,0,1,2,3,2,1057
0,3,1,3,0,1,4,1195
0,0,0,1,2,1,3,936.25
0,0,1,3,0,1,5,791.5
0,1,0,1,2,1,4,1426
0,0,0,0,2,2,4,764.75
0,0,0,1,2,2,3,830
0,0,0,0,2,2,3,1162.25
0,1,0,1,2,2,3,1065.5
0,1,0,1,0,1,3,1022.25
0,1,1,1,0,4,5,1181
0,0,1,0,1,3,4,1764
0,1,0,0,0,2,2,1043.25
0,3,0,1,2,2,3,1702
0,0,1,3,1,2,4,856
0,0,0,1,1,2,5,390.75
0,0,1,0,0,3,4,1101.5
0,3,0,0,1,2,4,1016.5
0,1,0,1,2,3,5,287.75
0,1,0,0,0,3,6,841.25
0,1,1,1,0,3,6,911.75
1,0,0,0,0,1,3,1141.5
0,0,0,1,2,1,4,946.25
0,1,0,0,2,3,5,1190.25
0,0,0,1,2,3,4,924
0,1,1,0,0,2,4,823.75
0,3,1,1,2,3,4,1006
0,3,0,0,0,1,4,1008.75
0,3,0,0,1,2,3,1128
0,1,1,3,0,2,1,1340.5
0,3,1,0,0,3,3,1371
0,1,0,1,0,1,3,1331.25
0,3,1,0,2,2,3,704.5
0,0,1,1,2,1,3,1509
0,1,1,3,0,3,3,203.25
0,0,1,3,1,1,2,1034
0,0,1,1,0,3,5,1007.25
0,0,0,1,2,3,4,874
0,3,0,1,2,1,4,1148
0,0,0,3,0,3,3,229.25
0,3,1,1,2,2,3,962.75
0,3,1,1,0,4,5,1437.75
0,0,0,0,2,1,4,1281.5
0,0,0,1,2,2,3,1029.5
0,0,1,0,2,2,2,883.75
0,0,0,1,0,4,4,1144.5
0,3,0,1,1,2,3,1117
1,0,0,3,1,1,5,1047.75
0,0,1,0,1,4,4,992.5
0,0,0,0,2,1,1,1065.25
0,3,1,0,0,4,3,1526
0,0,0,1,1,2,2,1741.75
0,1,0,1,2,1,3,342.5
0,0,0,1,1,3,5,935.75
0,3,1,0,0,1,1,1058.5
0,3,0,1,1,3,3,855
0,1,1,1,1,1,5,1263
0,1,0,1,1,1,6,1094.25
0,0,1,3,2,2,2,228.25
0,1,1,1,0,1,3,1265
1,0,1,1,0,4,4,1034
0,3,1,1,0,2,2,1210.25
0,1,0,0,2,2,3,1150.5
0,3,1,0,1,2,3,691.5
0,3,0,1,1,2,3,1296.25
0,3,0,1,1,2,3,690.5
0,1,0,1,1,1,4,1161.25
0,1,0,0,0,3,1,874.25
0,1,1,0,2,2,2,1272.75
0,0,0,0,0,1,3,1028.75
0,1,0,1,1,1,4,677.25
0,0,1,3,0,3,4,1053.25
0,3,1,0,2,1,3,1022
0,3,0,1,1,3,3,1024
1,3,1,3,0,1,1,887.25
0,0,0,1,1,2,4,1163.25
0,3,0,3,0,2,3,139
0,3,0,1,2,4,3,1164.5
1,1,1,0,0,2,4,984
0,0,0,0,1,2,4,735.75
0,1,0,1,2,2,3,1176
0,0,1,1,1,3,5,1504.5
1,3,1,0,0,4,3,881.25
0,1,1,1,0,2,3,1168.5
1,1,0,0,0,3,3,1107.5
0,0,0,1,2,2,4,129.75
0,3,1,0,2,3,1,1033.75
0,3,1,1,2,1,4,742.25
0,1,1,1,2,2,3,1423.25
0,0,0,1,2,1,4,239.25
0,3,1,1,2,2,3,1143.75
0,0,1,1,2,2,5,828
0,0,0,1,2,1,4,873.25
0,1,1,3,1,3,4,734
0,1,1,1,2,1,4,661.25
0,3,1,3,2,1,3,1159.25
0,3,1,1,1,3,2,1005.5
1,1,1,3,0,2,4,896.25
0,0,0,1,2,2,5,1101.75
0,1,1,0,0,2,4,278
0,3,0,1,1,3,5,715.25
0,3,0,1,0,1,5,1611.5
0,3,0,3,2,2,3,914.25
0,3,0,3,0,1,4,253.25
0,1,0,0,1,3,4,1035.25
0,0,0,0,1,1,2,1261.75
0,3,1,1,1,2,3,275.5
0,0,1,1,1,3,5,755.5
0,0,1,0,1,1,3,1295.25
1,0,1,1,1,3,2,944.5
0,1,0,1,2,2,2,1148.25
0,0,1,1,2,2,4,172.75
0,3,1,1,2,3,4,756
0,0,1,3,0,1,4,1486.75
0,3,1,0,0,1,5,1076
0,0,1,1,2,2,5,1094
0,3,0,0,1,2,4,287.25
1,0,1,1,0,1,4,916.5
0,1,1,0,1,3,3,1376.75
0,0,1,1,0,2,4,648.75
0,3,1,1,2,1,4,0
0,3,1,0,0,2,4,683.25
0,3,0,1,0,1,5,979.25
0,1,1,3,2,2,4,913.75
0,0,0,1,2,4,3,755.25
0,1,0,1,0,2,2,1000.75
0,3,1,1,0,2,5,1107
0,3,0,1,2,2,5,762.25
0,3,0,3,1,2,3,1223.5
0,0,1,0,1,2,2,932.5
0,1,0,1,0,2,3,967.75
0,3,1,0,0,2,4,222.75
0,3,1,1,0,1,2,1003.75
0,0,1,1,2,2,3,1221
0,1,1,3,0,1,4,915.5
0,1,1,1,1,3,3,984.25
0,1,0,1,2,2,2,1266.5
0,3,1,3,1,2,4,899.5
0,1,1,3,1,3,2,1224.5
1,3,1,0,0,2,5,1735.25
0,1,0,1,2,1,4,1057.75
0,3,0,0,2,4,2,1196.25
0,1,0,1,1,2,5,219.5
0,0,0,1,2,2,3,1113.25
0,3,0,1,2,2,4,969.25
0,0,0,1,0,1,5,823.25
1,3,1,1,0,1,4,992.25
0,1,1,1,0,2,4,750.75
0,3,0,1,2,1,4,1101.75
0,0,1,3,0,3,3,756.75
0,3,0,3,0,1,5,1092
0,3,0,1,1,3,4,1072
0,1,1,0,2,2,3,910.25
0,3,0,1,1,3,5,884.5
0,3,1,0,1,3,6,1007.75
0,3,0,3,2,2,3,1069
0,1,0,0,0,2,3,257.5
0,0,1,1,0,1,3,1095.25
0,1,0,3,0,2,3,1157.5
0,0,0,1,1,2,2,1015.75
0,0,1,0,2,2,4,986.5
0,1,0,3,1,3,3,962
0,1,0,1,1,2,3,940.75
0,1,1,3,1,1,3,1049.75
0,3,1,0,2,1,3,708.75
0,0,1,0,2,4,4,1170.25
0,1,1,3,2,1,5,1255.5
0,0,0,0,2,1,3,1246
0,1,0,0,0,1,3,911.5
0,1,1,1,2,2,4,885.75
0,3,1,1,0,1,2,1101.25
0,0,1,1,0,2,4,1018.75
0,3,0,1,2,2,3,1506
0,3,0,3,2,1,3,922
0,3,0,0,0,3,4,1157.75
1,3,1,1,2,2,3,1028.75
0,3,1,1,0,2,2,1233
0,1,1,3,1,2,4,1749.25
0,3,1,3,2,1,3,946.25
0,3,0,3,0,2,2,1762
0,0,1,1,1,1,3,1180
0,1,0,1,2,1,5,898.5
0,1,0,3,2,2,4,984
0,3,1,3,1,2,3,1100.5
0,3,0,3,2,1,3,765.25
0,0,0,1,0,2,4,1076.75
0,1,1,1,1,2,5,970
0,0,1,1,2,1,4,1206
0,1,0,0,2,2,3,292
0,0,1,1,0,2,4,1001
0,3,0,1,1,1,2,920.25
0,3,0,1,2,2,1,925.75
0,1,0,3,1,1,4,673.75
0,0,1,1,0,2,4,996.25
0,0,0,0,1,2,5,246
0,1,1,1,1,1,4,1135.25
0,1,1,1,2,2,3,929
0,3,0,3,2,2,3,1241
0,3,0,1,0,2,5,790.75
1,1,1,0,0,2,4,1364.75
0,3,1,3,2,3,3,785.5
0,0,1,1,1,2,3,1074.25
0,0,1,1,2,2,4,1041
0,0,1,1,1,1,4,1097
0,3,0,1,2,4,2,1130
0,1,1,0,2,1,1,1186.75
0,1,1,3,0,1,3,1058.5
0,0,0,1,0,3,4,1048.75
0,3,0,3,0,2,3,1036
1,3,1,1,0,1,3,841.75
0,0,0,1,1,2,3,753.75
0,3,0,0,2,3,4,1009
0,3,1,3,1,2,1,1340
0,3,1,1,0,4,3,782.75
0,0,0,3,0,4,3,1162.25
0,3,0,1,2,3,3,250.5
0,3,0,0,0,2,4,966.75
0,3,1,3,2,2,3,1233.5
0,3,0,1,1,3,2,1778.75
0,0,1,0,0,2,3,954.75
1,0,1,1,0,1,4,1327.25
0,1,0,1,1,2,5,966
0,0,0,0,0,2,5,1028.25
0,0,1,1,2,1,4,795.5
0,3,0,1,0,2,4,1171.75
0,1,1,0,0,1,5,686
0,0,1,1,0,1,4,1094.25
0,0,0,1,1,2,4,107.75
0,0,0,3,0,2,3,962.5
0,1,1,0,2,3,5,783.75
0,1,0,1,1,2,4,1255.75
0,1,0,1,0,1,3,1255.75
0,1,0,1,2,2,4,1005.25
0,3,0,1,2,2,5,821.25
0,0,0,1,1,1,2,635.25
0,1,1,0,1,2,3,1154
0,1,1,0,0,1,3,997.25
0,3,1,3,0,1,5,1106.25
0,0,1,1,0,2,4,179.5
0,3,1,1,2,2,6,946.75
0,3,0,0,2,1,4,1096.25
0,1,0,3,0,2,2,279
0,0,0,1,2,1,4,285
0,0,1,1,2,3,3,1100.5
1,0,1,0,0,1,4,1034.75
0,1,0,3,1,1,4,1113.25
0,0,1,3,2,2,4,1262.25
0,1,1,3,2,1,5,1159
0,3,0,1,1,1,3,980
0,0,0,1,0,1,6,1085.5
0,1,0,0,2,1,2,812.25
0,0,0,1,1,1,3,237.75
0,1,1,0,0,3,3,1055.5
0,1,1,0,1,2,2,941.25
0,0,0,0,0,2,2,1005
0,0,1,1,0,2,4,1066.25
0,3,0,1,2,2,3,1452.25
0,1,1,1,0,2,4,137
0,3,1,3,0,3,3,781
0,0,0,0,0,1,3,900.75
0,0,0,1,2,2,4,1135
0,1,0,1,1,3,3,1054.25
0,0,1,1,0,2,4,1191.5
1,1,0,1,0,3,4,938.25
0,3,0,1,2,2,3,794.75
0,1,0,1,1,3,4,983.25
0,3,0,1,0,1,4,672.5
0,3,1,1,2,3,5,956.25
0,3,1,0,1,2,5,1179
0,0,0,1,1,1,3,1168
0,3,1,3,2,3,4,974
0,0,0,0,1,2,3,1071.75
0,0,0,1,1,3,5,1164.5
0,1,0,3,0,1,3,806.75
1,0,1,1,2,2,3,1054.75
0,1,0,3,0,1,2,1229.5
0,0,1,1,1,2,4,1122
0,0,0,1,1,1,5,832.25
0,3,0,1,2,1,1,822
0,3,0,0,1,3,2,751
0,0,1,3,1,3,4,1449.5
0,3,0,3,1,2,2,1018.75
0,1,1,3,1,2,2,1262.75
0,1,0,3,1,3,6,1388
0,1,1,3,1,3,5,770
0,3,0,0,2,2,3,1357.25
0,3,0,1,2,3,5,1131.5
0,0,0,1,0,2,3,831.5
0,0,1,1,1,2,3,1032.75
0,0,0,0,0,3,2,288.25
0,3,0,1,0,2,4,709
1,3,1,1,2,1,2,612.75
0,0,0,1,0,1,4,1220
0,0,0,1,2,2,4,1153.75
0,0,1,3,2,3,3,1045.5
0,1,0,1,1,2,3,1083
0,1,0,1,0,2,2,1070.75
0,1,0,0,0,2,3,886.25
0,1,0,0,0,1,3,259
1,3,1,0,0,2,1,1215.75
0,0,1,1,1,2,3,258.75
0,0,1,3,2,4,4,1056.25
0,1,1,3,1,2,5,845
0,1,0,1,2,1,4,444.75
0,0,0,1,1,2,4,663
0,0,0,0,2,2,4,820
0,3,0,1,2,1,3,947.75
0,1,0,1,0,2,3,1466.75
0,0,1,0,0,3,5,1405
0,3,1,0,0,2,4,1687.25
0,3,1,1,2,2,2,977.75
0,3,0,1,1,1,4,1293.5
0,0,1,1,1,3,4,1035.25
0,3,1,0,2,3,2,973
0,3,1,0,2,3,5,177.25
0,0,0,1,0,2,3,1027.75
0,0,1,3,2,1,4,764.75
0,3,1,1,1,2,4,1046.75
0,1,0,1,1,1,4,237.5
0,1,1,1,2,1,3,1325.75
0,3,1,1,1,1,4,865.25
0,0,0,0,1,1,3,977
0,0,1,3,0,2,3,753.75
0,0,0,1,1,4,3,1008.75
0,0,1,3,1,3,3,208.25
0,3,0,3,2,2,2,1016.5
0,0,1,1,0,2,6,1039
0,3,1,1,1,2,3,1252
0,0,1,1,1,1,4,816.75
0,3,0,1,0,1,4,1066
1,1,1,0,0,2,3,1097.5
0,0,0,0,0,2,4,1014.5
0,3,0,3,2,1,2,1174
0,3,0,1,2,1,4,817
0,3,0,3,0,2,3,986.75
0,3,0,1,2,1,3,920.25
0,0,0,1,1,2,4,715.75
0,3,1,1,1,1,2,203
0,0,1,3,0,1,5,1245.5
0,3,1,1,2,1,2,1173.5
0,0,0,3,0,1,5,1007.25
0,3,1,1,2,1,5,308
0,0,0,0,1,3,3,330.25
0,1,0,3,0,2,4,370.25
0,0,1,3,1,2,4,946.5
0,3,0,1,0,1,5,1028.75
0,1,1,0,2,1,5,274
0,0,0,0,2,2,4,1021
0,3,1,3,2,2,6,255.25
0,1,1,3,1,2,4,1101
0,1,1,0,2,3,2,896.75
0,0,1,1,2,1,4,898.75
1,0,1,1,2,2,4,1070
0,1,1,1,0,3,4,1037.25
0,3,1,0,2,3,2,1258.75
0,0,0,3,1,2,5,1351.5
0,1,0,0,0,3,3,1166.75
0,3,0,0,1,2,5,303
0,1,0,0,2,2,3,976
0,3,1,0,0,2,4,960.75
0,1,0,0,0,1,4,1000.25
0,1,1,1,0,2,5,1053
0,3,0,1,0,2,4,912.5
0,1,0,1,0,1,4,259.5
0,3,0,3,1,1,4,1232.5
0,1,1,0,1,3,3,140.75
0,1,1,1,0,2,5,1058.25
0,3,0,1,2,1,4,939.75
0,0,0,1,0,2,5,1059.25
0,1,0,1,2,1,5,1042.25
0,0,0,0,0,2,2,755.75
0,0,1,3,0,4,4,1110.5
0,3,0,0,2,2,5,997.75
0,0,1,3,0,3,4,945.25
0,3,1,1,1,2,3,895
0,0,0,0,1,2,4,1004.75
0,3,1,0,2,2,3,1210.5
0,1,1,0,0,2,3,953.75
0,0,1,0,1,3,6,930.5
0,0,0,1,1,3,3,1045.75
0,1,1,1,1,2,2,341.5
0,0,0,3,2,2,3,687
0,3,0,0,2,1,4,1223
0,1,0,0,1,2,4,620.5
1,3,1,3,0,2,2,1126.25
0,0,0,1,0,2,3,956.5
0,3,0,1,0,3,1,251.75
