rewardvalue,mailertype,incomelevel,creditratingvalue,Credit Cards Held,Household Size,Average Balance,Offer Accepted
0,0,3,2,2,4,1160.75,No
0,0,1,1,2,5,147.25,No
0,1,3,1,2,2,276.5,No
0,0,1,2,1,4,1219,No
0,0,1,1,2,6,1211,No
0,0,1,2,3,4,1114.75,No
0,0,1,1,2,3,283.75,No
1,1,0,1,4,4,278.5,No
0,1,1,0,2,4,1005,No
0,0,3,0,3,4,974.25,No
0,1,1,1,3,2,1135.25,No
1,1,3,1,3,5,1221,No
3,0,1,0,1,2,1150.5,No
3,0,0,2,1,3,1052.25,No
0,0,0,2,3,3,1013.25,No
1,0,3,0,2,2,1012.25,No
3,1,0,1,1,4,1217,No
0,1,0,2,2,4,1185.25,No
3,1,1,0,1,4,1059.75,No
1,0,1,2,2,5,1086.75,No
3,1,0,2,2,4,1175.25,No
3,0,1,0,2,3,811.75,No
1,0,3,2,1,3,1754,No
0,1,3,2,3,5,689.5,No
1,0,0,0,2,4,1018.25,No
1,1,1,2,3,5,1130.25,No
0,1,0,0,3,1,877,No
0,0,1,0,1,2,769.5,Yes
1,1,1,0,1,3,709,No
3,1,3,1,1,1,690,No
3,0,1,2,2,3,863.25,No
1,1,0,0,1,5,733,No
3,1,0,2,2,4,771,No
0,1,0,1,1,4,659.5,No
0,0,1,0,2,2,1258,No
3,0,3,2,2,4,875.25,No
0,1,1,1,2,2,675.75,No
0,1,1,1,2,4,1095.75,No
0,1,3,0,1,8,1285,No
0,1,0,1,2,3,1079.25,No
0,0,0,2,1,3,1119.75,No
0,0,3,1,3,3,172,No
1,1,1,1,1,4,834.75,No
0,0,3,1,3,3,1044.75,No
3,1,1,0,2,2,838.75,No
0,1,3,0,2,5,851.25,Yes
0,0,1,1,2,6,1040.25,No
0,0,0,2,2,3,987,No
0,1,1,0,1,3,822,No
3,0,1,2,1,5,650.5,No
0,1,0,2,2,2,931.75,Yes
1,0,1,1,1,3,988,No
3,0,1,1,1,4,1145.5,No
3,1,1,0,1,4,1162.5,No
0,1,1,2,2,3,954.25,No
3,1,3,1,4,5,1301.25,No
1,0,1,1,2,4,1148.75,No
0,1,0,1,1,2,1192.75,Yes
1,1,1,2,2,2,1195.5,No
0,1,1,2,2,3,1351.5,No
1,1,1,2,1,4,1062.25,No
1,0,1,2,2,2,1147.25,No
1,0,1,0,1,3,1308.5,No
1,1,1,2,2,2,363,No
1,0,1,0,1,4,929.5,No
1,1,0,0,2,2,718,No
1,0,3,2,1,3,1193.25,No
0,0,1,1,3,2,957.75,No
3,1,1,0,2,4,1050,No
3,1,1,2,2,5,1266.5,No
0,1,1,2,4,2,1124.75,No
0,0,3,2,2,1,1059.75,No
1,1,1,2,1,1,1014.25,No
0,0,0,2,1,3,891.25,No
1,1,3,0,2,5,1329.5,Yes
0,0,1,1,3,4,1023.5,No
1,1,1,0,1,5,908.5,Yes
1,0,3,0,1,3,731.5,No
3,1,0,1,2,2,793.5,No
1,1,1,0,1,3,1735.5,No
1,1,1,1,2,4,970.5,No
1,0,3,0,2,4,995.25,No
3,1,1,1,2,3,904,No
1,1,3,2,1,5,1128.5,No
0,1,1,1,2,3,1102.75,No
1,1,1,2,1,4,976.25,No
0,0,1,2,2,5,839.75,No
3,1,1,1,2,4,1293,No
1,1,1,2,2,5,819.5,No
0,1,1,0,2,3,1094.5,No
3,1,0,0,1,2,1247.25,No
0,0,1,2,3,3,167,No
1,0,1,2,3,2,1144.75,No
0,0,0,1,1,3,909.75,No
1,1,1,0,3,3,976.25,No
3,1,0,1,2,4,741,No
0,1,0,1,1,2,1343.75,No
3,0,0,0,3,3,1454.5,Yes
0,0,1,1,1,4,1791.25,No
3,0,0,1,1,3,1185.75,No
1,0,0,2,2,3,1210.75,No
3,1,3,0,1,9,161.5,Yes
1,0,0,2,1,2,1033.75,No
1,0,3,0,2,5,963,No
1,1,1,2,2,5,1025.75,No
3,0,0,2,1,5,1071.75,No
1,0,0,0,2,3,1039.5,No
0,1,1,0,3,3,979.25,No
3,1,3,2,2,1,905.5,No
1,0,3,1,2,5,924,No
1,1,0,0,1,2,1061.75,No
3,1,1,1,3,1,816.5,No
0,0,3,2,2,5,1082.5,Yes
1,1,1,0,1,4,928.25,No
3,1,3,1,2,3,1397.25,No
3,1,0,0,1,5,1034.5,No
0,1,1,0,2,5,738.5,No
1,1,3,2,2,4,1251.5,No
3,1,0,2,1,5,1153.75,No
1,1,3,1,2,4,864,No
1,0,1,2,3,2,1155.5,No
1,1,3,2,1,5,1090.5,No
1,0,0,1,2,4,1090.5,No
0,0,0,0,2,3,773.75,No
0,1,1,1,2,3,1052,No
0,1,1,1,2,4,944.25,No
3,0,1,2,1,4,1147.25,No
1,0,3,2,2,3,1159.5,No
0,1,3,2,1,3,836.5,No
1,0,1,1,2,3,1057.75,No
1,1,1,1,3,5,714.75,No
0,1,3,1,2,3,811.5,Yes
1,0,1,2,2,3,865.75,No
1,1,1,0,1,3,887.25,No
1,0,3,1,2,5,1791.75,No
3,1,3,2,2,3,1083,No
3,0,1,0,1,2,212.5,No
1,0,1,0,2,2,877.75,No
0,0,1,2,2,3,691.5,No
0,1,0,1,2,4,814.5,No
3,1,1,1,2,4,955.5,No
1,0,3,2,2,4,1281.5,No
0,0,3,0,2,3,937.5,No
3,0,1,1,2,3,919.75,No
3,1,1,2,1,3,879.75,No
3,0,1,0,4,4,1181,No
0,1,0,1,1,3,1153.5,No
3,1,3,2,2,4,794.25,No
3,1,1,0,3,4,927.25,No
3,0,1,1,3,2,1809,No
1,0,0,1,1,5,1156.25,No
0,1,3,0,2,4,1121.5,No
1,0,3,1,2,4,1203,No
3,0,3,0,1,1,246.25,No
0,0,0,0,1,4,1454.75,No
3,1,3,0,2,2,687,No
3,1,3,0,1,3,928,No
3,1,3,0,2,2,933,No
1,1,1,0,1,5,1133.25,Yes
1,0,1,0,3,5,1301.5,No
1,0,3,1,1,2,1199,No
3,0,1,0,1,3,1084.25,No
1,1,0,2,2,2,1094.5,No
3,0,3,2,1,3,1104,No
0,0,3,0,1,4,1042.5,No
1,1,1,2,1,5,1089.75,No
3,1,1,1,2,3,974.25,No
0,1,1,2,2,3,991.5,No
3,1,0,1,2,3,1204.25,No
0,1,1,0,2,5,865,No
3,1,1,2,2,2,1144,No
0,0,1,1,3,4,958.5,No
1,0,1,0,2,3,1056.25,No
3,0,1,1,3,3,695,No
1,1,0,2,4,2,1237.5,No
1,0,0,2,2,5,1034,No
1,0,3,2,1,4,1246.5,No
1,0,1,0,2,2,998.75,No
3,1,3,1,2,3,1028,No
3,1,1,2,2,2,320,No
3,0,0,2,1,3,91.25,No
3,0,3,1,1,3,166.25,No
0,0,1,0,3,2,240,No
3,1,1,1,2,5,124.75,No
0,0,3,0,1,3,1145.75,No
3,1,1,0,2,6,1292.5,No
3,0,1,2,2,3,1186,No
0,1,1,2,1,5,1135.25,No
1,0,0,0,3,4,1279.25,No
0,1,3,0,2,3,1162,No
1,1,1,0,2,3,954.5,No
1,1,1,1,2,3,1073.25,No
3,0,1,1,1,4,889,No
3,0,1,0,1,3,294.25,No
0,1,0,0,3,3,1047.5,No
0,0,0,0,1,3,661.25,No
1,0,1,1,3,2,158.75,No
1,1,3,1,2,3,1059,No
0,0,0,1,1,2,1741.75,No
3,1,3,0,1,4,1419.5,No
1,0,1,0,2,3,232.5,No
3,0,1,2,2,3,1122.5,No
1,1,1,0,1,4,1250.75,No
0,0,1,2,3,2,1057,No
3,1,3,0,1,4,1195,No
0,0,1,2,1,3,936.25,No
0,1,3,0,1,5,791.5,No
1,0,1,2,1,4,1426,No
0,0,0,2,2,4,764.75,No
0,0,1,2,2,3,830,No
0,0,0,2,2,3,1162.25,No
1,0,1,2,2,3,1065.5,No
1,0,1,0,1,3,1022.25,No
1,1,1,0,4,5,1181,No
0,1,0,1,3,4,1764,No
1,0,0,0,2,2,1043.25,No
3,0,1,2,2,3,1702,No
0,1,3,1,2,4,856,No
0,0,1,1,2,5,390.75,No
0,1,0,0,3,4,1101.5,No
3,0,0,1,2,4,1016.5,No
1,0,1,2,3,5,287.75,No
1,0,0,0,3,6,841.25,No
1,1,1,0,3,6,911.75,No
0,0,0,0,1,3,1141.5,Yes
0,0,1,2,1,4,946.25,No
1,0,0,2,3,5,1190.25,No
0,0,1,2,3,4,924,No
1,1,0,0,2,4,823.75,No
3,1,1,2,3,4,1006,No
3,0,0,0,1,4,1008.75,No
3,0,0,1,2,3,1128,No
1,1,3,0,2,1,1340.5,No
3,1,0,0,3,3,1371,No
1,0,1,0,1,3,1331.25,No
3,1,0,2,2,3,704.5,No
0,1,1,2,1,3,1509,No
1,1,3,0,3,3,203.25,No
0,1,3,1,1,2,1034,No
0,1,1,0,3,5,1007.25,No
0,0,1,2,3,4,874,No
3,0,1,2,1,4,1148,No
0,0,3,0,3,3,229.25,No
3,1,1,2,2,3,962.75,No
3,1,1,0,4,5,1437.75,No
0,0,0,2,1,4,1281.5,No
0,0,1,2,2,3,1029.5,No
0,1,0,2,2,2,883.75,No
0,0,1,0,4,4,1144.5,No
3,0,1,1,2,3,1117,No
0,0,3,1,1,5,1047.75,Yes
0,1,0,1,4,4,992.5,No
0,0,0,2,1,1,1065.25,No
3,1,0,0,4,3,1526,No
0,0,1,1,2,2,1741.75,No
1,0,1,2,1,3,342.5,No
0,0,1,1,3,5,935.75,No
3,1,0,0,1,1,1058.5,No
3,0,1,1,3,3,855,No
1,1,1,1,1,5,1263,No
1,0,1,1,1,6,1094.25,No
0,1,3,2,2,2,228.25,No
1,1,1,0,1,3,1265,No
0,1,1,0,4,4,1034,Yes
3,1,1,0,2,2,1210.25,No
1,0,0,2,2,3,1150.5,No
3,1,0,1,2,3,691.5,No
3,0,1,1,2,3,1296.25,No
3,0,1,1,2,3,690.5,No
1,0,1,1,1,4,1161.25,No
1,0,0,0,3,1,874.25,No
1,1,0,2,2,2,1272.75,No
0,0,0,0,1,3,1028.75,No
1,0,1,1,1,4,677.25,No
0,1,3,0,3,4,1053.25,No
3,1,0,2,1,3,1022,No
3,0,1,1,3,3,1024,No
3,1,3,0,1,1,887.25,Yes
0,0,1,1,2,4,1163.25,No
3,0,3,0,2,3,139,No
3,0,1,2,4,3,1164.5,No
1,1,0,0,2,4,984,Yes
0,0,0,1,2,4,735.75,No
1,0,1,2,2,3,1176,No
0,1,1,1,3,5,1504.5,No
3,1,0,0,4,3,881.25,Yes
1,1,1,0,2,3,1168.5,No
1,0,0,0,3,3,1107.5,Yes
0,0,1,2,2,4,129.75,No
3,1,0,2,3,1,1033.75,No
3,1,1,2,1,4,742.25,No
1,1,1,2,2,3,1423.25,No
0,0,1,2,1,4,239.25,No
3,1,1,2,2,3,1143.75,No
0,1,1,2,2,5,828,No
0,0,1,2,1,4,873.25,No
1,1,3,1,3,4,734,No
1,1,1,2,1,4,661.25,No
3,1,3,2,1,3,1159.25,No
3,1,1,1,3,2,1005.5,No
1,1,3,0,2,4,896.25,Yes
0,0,1,2,2,5,1101.75,No
1,1,0,0,2,4,278,No
3,0,1,1,3,5,715.25,No
3,0,1,0,1,5,1611.5,No
3,0,3,2,2,3,914.25,No
3,0,3,0,1,4,253.25,No
1,0,0,1,3,4,1035.25,No
0,0,0,1,1,2,1261.75,No
3,1,1,1,2,3,275.5,No
0,1,1,1,3,5,755.5,No
0,1,0,1,1,3,1295.25,No
0,1,1,1,3,2,944.5,Yes
1,0,1,2,2,2,1148.25,No
0,1,1,2,2,4,172.75,No
3,1,1,2,3,4,756,No
0,1,3,0,1,4,1486.75,No
3,1,0,0,1,5,1076,No
0,1,1,2,2,5,1094,No
3,0,0,1,2,4,287.25,No
0,1,1,0,1,4,916.5,Yes
1,1,0,1,3,3,1376.75,No
0,1,1,0,2,4,648.75,No
3,1,1,2,1,4,0,No
3,1,0,0,2,4,683.25,No
3,0,1,0,1,5,979.25,No
1,1,3,2,2,4,913.75,No
0,0,1,2,4,3,755.25,No
1,0,1,0,2,2,1000.75,No
3,1,1,0,2,5,1107,No
3,0,1,2,2,5,762.25,No
3,0,3,1,2,3,1223.5,No
0,1,0,1,2,2,932.5,No
1,0,1,0,2,3,967.75,No
3,1,0,0,2,4,222.75,No
3,1,1,0,1,2,1003.75,No
0,1,1,2,2,3,1221,No
1,1,3,0,1,4,915.5,No
1,1,1,1,3,3,984.25,No
1,0,1,2,2,2,1266.5,No
3,1,3,1,2,4,899.5,No
1,1,3,1,3,2,1224.5,No
3,1,0,0,2,5,1735.25,Yes
1,0,1,2,1,4,1057.75,No
3,0,0,2,4,2,1196.25,No
1,0,1,1,2,5,219.5,No
0,0,1,2,2,3,1113.25,No
3,0,1,2,2,4,969.25,No
0,0,1,0,1,5,823.25,No
3,1,1,0,1,4,992.25,Yes
1,1,1,0,2,4,750.75,No
3,0,1,2,1,4,1101.75,No
0,1,3,0,3,3,756.75,No
3,0,3,0,1,5,1092,No
3,0,1,1,3,4,1072,No
1,1,0,2,2,3,910.25,No
3,0,1,1,3,5,884.5,No
3,1,0,1,3,6,1007.75,No
3,0,3,2,2,3,1069,No
1,0,0,0,2,3,257.5,No
0,1,1,0,1,3,1095.25,No
1,0,3,0,2,3,1157.5,No
0,0,1,1,2,2,1015.75,No
0,1,0,2,2,4,986.5,No
1,0,3,1,3,3,962,No
1,0,1,1,2,3,940.75,No
1,1,3,1,1,3,1049.75,No
3,1,0,2,1,3,708.75,No
0,1,0,2,4,4,1170.25,No
1,1,3,2,1,5,1255.5,No
0,0,0,2,1,3,1246,No
1,0,0,0,1,3,911.5,No
1,1,1,2,2,4,885.75,No
3,1,1,0,1,2,1101.25,No
0,1,1,0,2,4,1018.75,No
3,0,1,2,2,3,1506,No
3,0,3,2,1,3,922,No
3,0,0,0,3,4,1157.75,No
3,1,1,2,2,3,1028.75,Yes
3,1,1,0,2,2,1233,No
1,1,3,1,2,4,1749.25,No
3,1,3,2,1,3,946.25,No
3,0,3,0,2,2,1762,No
0,1,1,1,1,3,1180,No
1,0,1,2,1,5,898.5,No
1,0,3,2,2,4,984,No
3,1,3,1,2,3,1100.5,No
3,0,3,2,1,3,765.25,No
0,0,1,0,2,4,1076.75,No
1,1,1,1,2,5,970,No
0,1,1,2,1,4,1206,No
1,0,0,2,2,3,292,No
0,1,1,0,2,4,1001,No
3,0,1,1,1,2,920.25,No
3,0,1,2,2,1,925.75,No
1,0,3,1,1,4,673.75,No
0,1,1,0,2,4,996.25,No
0,0,0,1,2,5,246,No
1,1,1,1,1,4,1135.25,No
1,1,1,2,2,3,929,No
3,0,3,2,2,3,1241,No
3,0,1,0,2,5,790.75,No
1,1,0,0,2,4,1364.75,Yes
3,1,3,2,3,3,785.5,No
0,1,1,1,2,3,1074.25,No
0,1,1,2,2,4,1041,No
0,1,1,1,1,4,1097,No
3,0,1,2,4,2,1130,No
1,1,0,2,1,1,1186.75,No
1,1,3,0,1,3,1058.5,No
0,0,1,0,3,4,1048.75,No
3,0,3,0,2,3,1036,No
3,1,1,0,1,3,841.75,Yes
0,0,1,1,2,3,753.75,No
3,0,0,2,3,4,1009,No
3,1,3,1,2,1,1340,No
3,1,1,0,4,3,782.75,No
0,0,3,0,4,3,1162.25,No
3,0,1,2,3,3,250.5,No
3,0,0,0,2,4,966.75,No
3,1,3,2,2,3,1233.5,No
3,0,1,1,3,2,1778.75,No
0,1,0,0,2,3,954.75,No
0,1,1,0,1,4,1327.25,Yes
1,0,1,1,2,5,966,No
0,0,0,0,2,5,1028.25,No
0,1,1,2,1,4,795.5,No
3,0,1,0,2,4,1171.75,No
1,1,0,0,1,5,686,No
0,1,1,0,1,4,1094.25,No
0,0,1,1,2,4,107.75,No
0,0,3,0,2,3,962.5,No
1,1,0,2,3,5,783.75,No
1,0,1,1,2,4,1255.75,No
1,0,1,0,1,3,1255.75,No
1,0,1,2,2,4,1005.25,No
3,0,1,2,2,5,821.25,No
0,0,1,1,1,2,635.25,No
1,1,0,1,2,3,1154,No
1,1,0,0,1,3,997.25,No
3,1,3,0,1,5,1106.25,No
0,1,1,0,2,4,179.5,No
3,1,1,2,2,6,946.75,No
3,0,0,2,1,4,1096.25,No
1,0,3,0,2,2,279,No
0,0,1,2,1,4,285,No
0,1,1,2,3,3,1100.5,No
0,1,0,0,1,4,1034.75,Yes
1,0,3,1,1,4,1113.25,No
0,1,3,2,2,4,1262.25,No
1,1,3,2,1,5,1159,No
3,0,1,1,1,3,980,No
0,0,1,0,1,6,1085.5,No
1,0,0,2,1,2,812.25,No
0,0,1,1,1,3,237.75,No
1,1,0,0,3,3,1055.5,No
1,1,0,1,2,2,941.25,No
0,0,0,0,2,2,1005,No
0,1,1,0,2,4,1066.25,No
3,0,1,2,2,3,1452.25,No
1,1,1,0,2,4,137,No
3,1,3,0,3,3,781,No
0,0,0,0,1,3,900.75,No
0,0,1,2,2,4,1135,No
1,0,1,1,3,3,1054.25,No
0,1,1,0,2,4,1191.5,No
1,0,1,0,3,4,938.25,Yes
3,0,1,2,2,3,794.75,No
1,0,1,1,3,4,983.25,No
3,0,1,0,1,4,672.5,No
3,1,1,2,3,5,956.25,No
3,1,0,1,2,5,1179,No
0,0,1,1,1,3,1168,No
3,1,3,2,3,4,974,No
0,0,0,1,2,3,1071.75,No
0,0,1,1,3,5,1164.5,No
1,0,3,0,1,3,806.75,No
0,1,1,2,2,3,1054.75,Yes
1,0,3,0,1,2,1229.5,No
0,1,1,1,2,4,1122,No
0,0,1,1,1,5,832.25,No
3,0,1,2,1,1,822,No
3,0,0,1,3,2,751,No
0,1,3,1,3,4,1449.5,No
3,0,3,1,2,2,1018.75,No
1,1,3,1,2,2,1262.75,No
1,0,3,1,3,6,1388,No
1,1,3,1,3,5,770,No
3,0,0,2,2,3,1357.25,No
3,0,1,2,3,5,1131.5,No
0,0,1,0,2,3,831.5,No
0,1,1,1,2,3,1032.75,No
0,0,0,0,3,2,288.25,No
3,0,1,0,2,4,709,No
3,1,1,2,1,2,612.75,Yes
0,0,1,0,1,4,1220,No
0,0,1,2,2,4,1153.75,No
0,1,3,2,3,3,1045.5,No
1,0,1,1,2,3,1083,No
1,0,1,0,2,2,1070.75,No
