Customer Number,Offer Accepted,Reward,Mailer Type,Income Level,# Bank Accounts Open,Overdraft Protection,Credit Rating,# Credit Cards Held,# Homes Owned,Household Size,Own Your Home,Average Balance
28,Yes,Air Miles,Letter,Medium,1,No,Low,1,1,2,No,769.5
46,Yes,Air Miles,Postcard,High,1,Yes,Low,2,1,5,Yes,851.25
51,Yes,Air Miles,Postcard,Low,1,No,High,2,1,2,Yes,931.75
58,Yes,Air Miles,Postcard,Low,1,No,Medium,1,1,2,Yes,1192.75
75,Yes,Cash Back,Postcard,High,1,No,Low,2,2,5,Yes,1329.5
77,Yes,Cash Back,Postcard,Medium,1,No,Low,1,1,5,Yes,908.5
98,Yes,Points,Letter,Low,2,No,Low,3,1,3,Yes,1454.5
102,Yes,Points,Postcard,High,1,Yes,Low,1,1,9,No,161.5
113,Yes,Air Miles,Letter,High,1,Yes,High,2,1,5,Yes,1082.5
132,Yes,Air Miles,Postcard,High,2,No,Medium,2,2,3,Yes,811.5
159,Yes,Cash Back,Postcard,Medium,3,No,Low,1,1,5,No,1133.25
225,Yes,Air Miles,Letter,Low,1,No,Low,1,1,3,No,1141.5
251,Yes,Air Miles,Letter,High,1,No,Medium,1,1,5,Yes,1047.75
264,Yes,Air Miles,Postcard,Medium,1,No,Low,4,1,4,No,1034
278,Yes,Points,Postcard,High,2,No,Low,1,1,1,Yes,887.25
282,Yes,Cash Back,Postcard,Low,1,Yes,Low,2,1,4,Yes,984
286,Yes,Points,Postcard,Low,2,No,Low,4,1,3,Yes,881.25
288,Yes,Cash Back,Letter,Low,2,No,Low,3,2,3,Yes,1107.5
301,Yes,Cash Back,Postcard,High,1,No,Low,2,1,4,Yes,896.25
313,Yes,Air Miles,Postcard,Medium,1,Yes,Medium,3,1,2,Yes,944.5
321,Yes,Air Miles,Postcard,Medium,1,No,Low,1,1,4,Yes,916.5
343,Yes,Points,Postcard,Low,1,No,Low,2,1,5,No,1735.25
350,Yes,Points,Postcard,Medium,2,No,Low,1,1,4,Yes,992.25
379,Yes,Points,Postcard,Medium,1,No,High,2,1,3,No,1028.75
403,Yes,Cash Back,Postcard,Low,1,No,Low,2,1,4,No,1364.75
413,Yes,Points,Postcard,Medium,2,No,Low,1,1,3,Yes,841.75
424,Yes,Air Miles,Postcard,Medium,2,No,Low,1,1,4,No,1327.25
448,Yes,Air Miles,Postcard,Low,1,Yes,Low,1,1,4,Yes,1034.75
467,Yes,Cash Back,Letter,Medium,1,No,Low,3,1,4,No,938.25
478,Yes,Air Miles,Postcard,Medium,2,No,High,2,1,3,Yes,1054.75
495,Yes,Points,Postcard,Medium,1,No,High,1,1,2,Yes,612.75
503,Yes,Points,Postcard,Low,1,No,Low,2,1,1,No,1215.75
534,Yes,Cash Back,Postcard,Low,2,Yes,Low,2,1,3,Yes,1097.5
556,Yes,Air Miles,Postcard,Medium,1,No,High,2,1,4,No,1070
588,Yes,Points,Postcard,High,1,No,Low,2,1,2,Yes,1126.25
606,Yes,Air Miles,Letter,High,2,Yes,Medium,1,1,4,Yes,175.75
611,Yes,Points,Postcard,Low,1,Yes,Low,1,1,5,No,825.5
619,Yes,Air Miles,Postcard,High,1,No,Low,1,2,5,Yes,259.25
626,Yes,Air Miles,Postcard,High,1,No,Medium,2,1,3,No,985.75
632,Yes,Points,Postcard,Medium,2,No,Low,2,1,5,Yes,955.75
