Customer Number,Offer Accepted,Reward,Mailer Type
1,No,Air Miles,Letter
2,No,Air Miles,Letter
3,No,Air Miles,Postcard
4,No,Air Miles,Letter
5,No,Air Miles,Letter
6,No,Air Miles,Letter
7,No,Air Miles,Letter
8,No,Cash Back,Postcard
9,No,Air Miles,Postcard
10,No,Air Miles,Letter
11,No,Air Miles,Postcard
12,No,Cash Back,Postcard
13,No,Points,Letter
14,No,Points,Letter
15,No,Air Miles,Letter
16,No,Cash Back,Letter
17,No,Points,Postcard
18,No,Air Miles,Postcard
19,No,Points,Postcard
20,No,Cash Back,Letter
21,No,Points,Postcard
22,No,Points,Letter
23,No,Cash Back,Letter
24,No,Air Miles,Postcard
25,No,Cash Back,Letter
26,No,Cash Back,Postcard
27,No,Air Miles,Postcard
28,Yes,Air Miles,Letter
29,No,Cash Back,Postcard
30,No,Points,Postcard
31,No,Points,Letter
32,No,Cash Back,Postcard
33,No,Points,Postcard
34,No,Air Miles,Postcard
35,No,Air Miles,Letter
36,No,Points,Letter
37,No,Air Miles,Postcard
38,No,Air Miles,Postcard
39,No,Air Miles,Postcard
40,No,Air Miles,Postcard
41,No,Air Miles,Letter
42,No,Air Miles,Letter
43,No,Cash Back,Postcard
44,No,Air Miles,Letter
45,No,Points,Postcard
46,Yes,Air Miles,Postcard
47,No,Air Miles,Letter
48,No,Air Miles,Letter
49,No,Air Miles,Postcard
50,No,Points,Letter
51,Yes,Air Miles,Postcard
52,No,Cash Back,Letter
53,No,Points,Letter
54,No,Points,Postcard
55,No,Air Miles,Postcard
56,No,Points,Postcard
57,No,Cash Back,Letter
58,Yes,Air Miles,Postcard
59,No,Cash Back,Postcard
60,No,Air Miles,Postcard
61,No,Cash Back,Postcard
62,No,Cash Back,Letter
63,No,Cash Back,Letter
64,No,Cash Back,Postcard
65,No,Cash Back,Letter
66,No,Cash Back,Postcard
67,No,Cash Back,Letter
68,No,Air Miles,Letter
69,No,Points,Postcard
70,No,Points,Postcard
71,No,Air Miles,Postcard
72,No,Air Miles,Letter
73,No,Cash Back,Postcard
74,No,Air Miles,Letter
75,Yes,Cash Back,Postcard
76,No,Air Miles,Letter
77,Yes,Cash Back,Postcard
78,No,Cash Back,Letter
79,No,Points,Postcard
80,No,Cash Back,Postcard
81,No,Cash Back,Postcard
82,No,Cash Back,Letter
83,No,Points,Postcard
84,No,Cash Back,Postcard
85,No,Air Miles,Postcard
86,No,Cash Back,Postcard
87,No,Air Miles,Letter
88,No,Points,Postcard
89,No,Cash Back,Postcard
90,No,Air Miles,Postcard
91,No,Points,Postcard
92,No,Air Miles,Letter
93,No,Cash Back,Letter
94,No,Air Miles,Letter
95,No,Cash Back,Postcard
96,No,Points,Postcard
97,No,Air Miles,Postcard
98,Yes,Points,Letter
99,No,Air Miles,Letter
100,No,Points,Letter
101,No,Cash Back,Letter
102,Yes,Points,Postcard
103,No,Cash Back,Letter
104,No,Cash Back,Letter
105,No,Cash Back,Postcard
106,No,Points,Letter
107,No,Cash Back,Letter
108,No,Air Miles,Postcard
109,No,Points,Postcard
110,No,Cash Back,Letter
111,No,Cash Back,Postcard
112,No,Points,Postcard
113,Yes,Air Miles,Letter
114,No,Cash Back,Postcard
115,No,Points,Postcard
116,No,Points,Postcard
117,No,Air Miles,Postcard
118,No,Cash Back,Postcard
119,No,Points,Postcard
120,No,Cash Back,Postcard
121,No,Cash Back,Letter
122,No,Cash Back,Postcard
123,No,Cash Back,Letter
124,No,Air Miles,Letter
125,No,Air Miles,Postcard
126,No,Air Miles,Postcard
127,No,Points,Letter
128,No,Cash Back,Letter
129,No,Air Miles,Postcard
130,No,Cash Back,Letter
131,No,Cash Back,Postcard
132,Yes,Air Miles,Postcard
133,No,Cash Back,Letter
134,No,Cash Back,Postcard
135,No,Cash Back,Letter
136,No,Points,Postcard
137,No,Points,Letter
138,No,Cash Back,Letter
139,No,Air Miles,Letter
140,No,Air Miles,Postcard
141,No,Points,Postcard
142,No,Cash Back,Letter
143,No,Air Miles,Letter
144,No,Points,Letter
145,No,Points,Postcard
146,No,Points,Letter
147,No,Air Miles,Postcard
148,No,Points,Postcard
149,No,Points,Postcard
150,No,Points,Letter
151,No,Cash Back,Letter
152,No,Air Miles,Postcard
153,No,Cash Back,Letter
154,No,Points,Letter
155,No,Air Miles,Letter
156,No,Points,Postcard
157,No,Points,Postcard
158,No,Points,Postcard
159,Yes,Cash Back,Postcard
160,No,Cash Back,Letter
161,No,Cash Back,Letter
162,No,Points,Letter
163,No,Cash Back,Postcard
164,No,Points,Letter
165,No,Air Miles,Letter
166,No,Cash Back,Postcard
167,No,Points,Postcard
168,No,Air Miles,Postcard
169,No,Points,Postcard
170,No,Air Miles,Postcard
171,No,Points,Postcard
172,No,Air Miles,Letter
173,No,Cash Back,Letter
174,No,Points,Letter
175,No,Cash Back,Postcard
176,No,Cash Back,Letter
177,No,Cash Back,Letter
178,No,Cash Back,Letter
179,No,Points,Postcard
180,No,Points,Postcard
181,No,Points,Letter
182,No,Points,Letter
183,No,Air Miles,Letter
184,No,Points,Postcard
185,No,Air Miles,Letter
186,No,Points,Postcard
