Customer Number,Income Level,Credit Rating,Credit Cards Held,Household Size,Average Balance
1,High,High,2,4,1160.75
2,Medium,Medium,2,5,147.25
3,High,Medium,2,2,276.5
4,Medium,High,1,4,1219
5,Medium,Medium,2,6,1211
6,Medium,High,3,4,1114.75
7,Medium,Medium,2,3,283.75
8,Low,Medium,4,4,278.5
9,Medium,Low,2,4,1005
10,High,Low,3,4,974.25
11,Medium,Medium,3,2,1135.25
12,High,Medium,3,5,1221
13,Medium,Low,1,2,1150.5
14,Low,High,1,3,1052.25
15,Low,High,3,3,1013.25
16,High,Low,2,2,1012.25
17,Low,Medium,1,4,1217
18,Low,High,2,4,1185.25
19,Medium,Low,1,4,1059.75
20,Medium,High,2,5,1086.75
21,Low,High,2,4,1175.25
22,Medium,Low,2,3,811.75
23,High,High,1,3,1754
24,High,High,3,5,689.5
25,Low,Low,2,4,1018.25
26,Medium,High,3,5,1130.25
27,Low,Low,3,1,877
28,Medium,Low,1,2,769.5
29,Medium,Low,1,3,709
30,High,Medium,1,1,690
31,Medium,High,2,3,863.25
32,Low,Low,1,5,733
33,Low,High,2,4,771
34,Low,Medium,1,4,659.5
35,Medium,Low,2,2,1258
36,High,High,2,4,875.25
37,Medium,Medium,2,2,675.75
38,Medium,Medium,2,4,1095.75
39,High,Low,1,8,1285
40,Low,Medium,2,3,1079.25
41,Low,High,1,3,1119.75
42,High,Medium,3,3,172
43,Medium,Medium,1,4,834.75
44,High,Medium,3,3,1044.75
45,Medium,Low,2,2,838.75
46,High,Low,2,5,851.25
47,Medium,Medium,2,6,1040.25
48,Low,High,2,3,987
49,Medium,Low,1,3,822
50,Medium,High,1,5,650.5
51,Low,High,2,2,931.75
52,Medium,Medium,1,3,988
53,Medium,Medium,1,4,1145.5
54,Medium,Low,1,4,1162.5
55,Medium,High,2,3,954.25
56,High,Medium,4,5,1301.25
57,Medium,Medium,2,4,1148.75
58,Low,Medium,1,2,1192.75
59,Medium,High,2,2,1195.5
60,Medium,High,2,3,1351.5
61,Medium,High,1,4,1062.25
62,Medium,High,2,2,1147.25
63,Medium,Low,1,3,1308.5
64,Medium,High,2,2,363
65,Medium,Low,1,4,929.5
66,Low,Low,2,2,718
67,High,High,1,3,1193.25
68,Medium,Medium,3,2,957.75
69,Medium,Low,2,4,1050
70,Medium,High,2,5,1266.5
71,Medium,High,4,2,1124.75
72,High,High,2,1,1059.75
73,Medium,High,1,1,1014.25
74,Low,High,1,3,891.25
75,High,Low,2,5,1329.5
76,Medium,Medium,3,4,1023.5
77,Medium,Low,1,5,908.5
78,High,Low,1,3,731.5
79,Low,Medium,2,2,793.5
80,Medium,Low,1,3,1735.5
81,Medium,Medium,2,4,970.5
82,High,Low,2,4,995.25
83,Medium,Medium,2,3,904
84,High,High,1,5,1128.5
85,Medium,Medium,2,3,1102.75
86,Medium,High,1,4,976.25
87,Medium,High,2,5,839.75
88,Medium,Medium,2,4,1293
89,Medium,High,2,5,819.5
90,Medium,Low,2,3,1094.5
91,Low,Low,1,2,1247.25
92,Medium,High,3,3,167
93,Medium,High,3,2,1144.75
94,Low,Medium,1,3,909.75
95,Medium,Low,3,3,976.25
96,Low,Medium,2,4,741
97,Low,Medium,1,2,1343.75
98,Low,Low,3,3,1454.5
99,Medium,Medium,1,4,1791.25
100,Low,Medium,1,3,1185.75
101,Low,High,2,3,1210.75
102,High,Low,1,9,161.5
103,Low,High,1,2,1033.75
104,High,Low,2,5,963
105,Medium,High,2,5,1025.75
106,Low,High,1,5,1071.75
107,Low,Low,2,3,1039.5
108,Medium,Low,3,3,979.25
109,High,High,2,1,905.5
110,High,Medium,2,5,924
111,Low,Low,1,2,1061.75
112,Medium,Medium,3,1,816.5
113,High,High,2,5,1082.5
114,Medium,Low,1,4,928.25
115,High,Medium,2,3,1397.25
116,Low,Low,1,5,1034.5
117,Medium,Low,2,5,738.5
118,High,High,2,4,1251.5
119,Low,High,1,5,1153.75
120,High,Medium,2,4,864
121,Medium,High,3,2,1155.5
122,High,High,1,5,1090.5
123,Low,Medium,2,4,1090.5
124,Low,Low,2,3,773.75
125,Medium,Medium,2,3,1052
126,Medium,Medium,2,4,944.25
127,Medium,High,1,4,1147.25
128,High,High,2,3,1159.5
129,High,High,1,3,836.5
130,Medium,Medium,2,3,1057.75
131,Medium,Medium,3,5,714.75
132,High,Medium,2,3,811.5
133,Medium,High,2,3,865.75
134,Medium,Low,1,3,887.25
135,High,Medium,2,5,1791.75
136,High,High,2,3,1083
137,Medium,Low,1,2,212.5
138,Medium,Low,2,2,877.75
139,Medium,High,2,3,691.5
140,Low,Medium,2,4,814.5
141,Medium,Medium,2,4,955.5
142,High,High,2,4,1281.5
143,High,Low,2,3,937.5
144,Medium,Medium,2,3,919.75
145,Medium,High,1,3,879.75
146,Medium,Low,4,4,1181
147,Low,Medium,1,3,1153.5
148,High,High,2,4,794.25
149,Medium,Low,3,4,927.25
150,Medium,Medium,3,2,1809
151,Low,Medium,1,5,1156.25
152,High,Low,2,4,1121.5
153,High,Medium,2,4,1203
154,High,Low,1,1,246.25
155,Low,Low,1,4,1454.75
156,High,Low,2,2,687
157,High,Low,1,3,928
158,High,Low,2,2,933
159,Medium,Low,1,5,1133.25
160,Medium,Low,3,5,1301.5
161,High,Medium,1,2,1199
162,Medium,Low,1,3,1084.25
163,Low,High,2,2,1094.5
164,High,High,1,3,1104
165,High,Low,1,4,1042.5
166,Medium,High,1,5,1089.75
167,Medium,Medium,2,3,974.25
168,Medium,High,2,3,991.5
169,Low,Medium,2,3,1204.25
170,Medium,Low,2,5,865
171,Medium,High,2,2,1144
172,Medium,Medium,3,4,958.5
173,Medium,Low,2,3,1056.25
174,Medium,Medium,3,3,695
175,Low,High,4,2,1237.5
176,Low,High,2,5,1034
177,High,High,1,4,1246.5
178,Medium,Low,2,2,998.75
179,High,Medium,2,3,1028
180,Medium,High,2,2,320
181,Low,High,1,3,91.25
182,High,Medium,1,3,166.25
183,Medium,Low,3,2,240
184,Medium,Medium,2,5,124.75
185,High,Low,1,3,1145.75
186,Medium,Low,2,6,1292.5
187,Medium,High,2,3,1186
188,Medium,High,1,5,1135.25
189,Low,Low,3,4,1279.25
190,High,Low,2,3,1162
191,Medium,Low,2,3,954.5
192,Medium,Medium,2,3,1073.25
193,Medium,Medium,1,4,889
194,Medium,Low,1,3,294.25
195,Low,Low,3,3,1047.5
196,Low,Low,1,3,661.25
197,Medium,Medium,3,2,158.75
198,High,Medium,2,3,1059
199,Low,Medium,1,2,1741.75
200,High,Low,1,4,1419.5
201,Medium,Low,2,3,232.5
202,Medium,High,2,3,1122.5
203,Medium,Low,1,4,1250.75
204,Medium,High,3,2,1057
205,High,Low,1,4,1195
206,Medium,High,1,3,936.25
207,High,Low,1,5,791.5
208,Medium,High,1,4,1426
209,Low,High,2,4,764.75
210,Medium,High,2,3,830
211,Low,High,2,3,1162.25
212,Medium,High,2,3,1065.5
213,Medium,Low,1,3,1022.25
214,Medium,Low,4,5,1181
215,Low,Medium,3,4,1764
216,Low,Low,2,2,1043.25
217,Medium,High,2,3,1702
218,High,Medium,2,4,856
219,Medium,Medium,2,5,390.75
220,Low,Low,3,4,1101.5
221,Low,Medium,2,4,1016.5
222,Medium,High,3,5,287.75
223,Low,Low,3,6,841.25
224,Medium,Low,3,6,911.75
225,Low,Low,1,3,1141.5
226,Medium,High,1,4,946.25
227,Low,High,3,5,1190.25
228,Medium,High,3,4,924
229,Low,Low,2,4,823.75
230,Medium,High,3,4,1006
231,Low,Low,1,4,1008.75
232,Low,Medium,2,3,1128
233,High,Low,2,1,1340.5
234,Low,Low,3,3,1371
235,Medium,Low,1,3,1331.25
236,Low,High,2,3,704.5
237,Medium,High,1,3,1509
238,High,Low,3,3,203.25
239,High,Medium,1,2,1034
240,Medium,Low,3,5,1007.25
241,Medium,High,3,4,874
242,Medium,High,1,4,1148
243,High,Low,3,3,229.25
244,Medium,High,2,3,962.75
245,Medium,Low,4,5,1437.75
246,Low,High,1,4,1281.5
247,Medium,High,2,3,1029.5
248,Low,High,2,2,883.75
249,Medium,Low,4,4,1144.5
250,Medium,Medium,2,3,1117
251,High,Medium,1,5,1047.75
252,Low,Medium,4,4,992.5
253,Low,High,1,1,1065.25
254,Low,Low,4,3,1526
255,Medium,Medium,2,2,1741.75
256,Medium,High,1,3,342.5
257,Medium,Medium,3,5,935.75
